"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","year","educlevel_hhh","hhid","CLUSTER","hhh_main_activity","povline","food_povline","below_pov"
1,1898.30634769607,1,2,0,2,0,1,45471.947711909,2012,4,11091011008,1,1,36482,26085,0
1,1898.30634769607,1,4,1,3,0,1,42183.5558382794,2012,2,11091011019,1,1,36482,26085,0
1,1898.30634769607,1,4,2,2,0,1,59783.7542967706,2012,3,11091011031,1,1,36482,26085,0
1,1898.30634769607,1,6,4,2,0,1,34738.2489568979,2012,3,11091011042,1,1,36482,26085,1
1,1898.30634769607,1,3,1,2,0,1,52342.9692417908,2012,1,11091011053,1,1,36482,26085,0
1,1898.30634769607,1,4,2,2,0,1,33107.2106607689,2012,2,11091011065,1,1,36482,26085,1
1,1898.30634769607,1,4,2,2,0,1,51909.2814791206,2012,2,11091011076,1,1,36482,26085,0
1,1898.30634769607,1,9,4,5,0,1,30952.7710114903,2012,3,11091011088,1,1,36482,26085,1
1,1898.30634769607,1,4,2,2,0,1,50309.4916743618,2012,3,11091011099,1,1,36482,26085,0
1,1898.30634769607,1,8,6,2,0,1,32545.2583625783,2012,3,11091011110,1,1,36482,26085,1
1,1898.30634769607,1,3,1,2,0,1,48028.2567254867,2012,2,11091011122,1,1,36482,26085,0
1,1898.30634769607,1,5,3,2,0,1,79381.6559195772,2012,3,11091011133,1,1,36482,26085,0
1,1898.30634769607,1,2,0,2,1,1,74753.6080726138,2012,1,11091011145,1,1,36482,26085,0
1,1898.30634769607,1,4,2,2,0,2,37292.1441355499,2012,1,11091011167,1,1,36482,26085,0
1,1898.30634769607,1,4,1,3,1,1,69857.5426635306,2012,1,11091011179,1,1,36482,26085,0
1,1898.30634769607,1,6,4,2,0,1,61384.3537852283,2012,3,11091011202,1,1,36482,26085,0
1,1898.30634769607,1,5,3,2,0,1,55886.4092166056,2012,3,11091011213,1,1,36482,26085,0
1,1898.30634769607,1,8,3,5,0,1,46245.0030206249,2012,2,11091011224,1,1,36482,26085,0
1,1898.30634769607,1,3,1,2,0,1,41838.2908200621,2012,3,11091011236,1,1,36482,26085,0
1,1898.30634769607,1,3,2,1,0,2,60411.104580621,2012,1,11091011247,1,1,36482,26085,0
1,1898.30634769607,1,6,2,4,0,1,40402.3491460439,2012,3,11091011259,1,1,36482,26085,0
1,1898.30634769607,1,8,5,3,1,2,39041.0881460454,2012,1,11091011270,1,1,36482,26085,0
1,1898.30634769607,1,6,3,3,0,1,46401.8949851453,2012,1,11091011281,1,2,36482,26085,0
1,1898.30634769607,1,7,4,3,0,2,49757.2945403204,2012,1,11091011293,1,1,36482,26085,0
1,1898.30634769607,1,5,3,2,0,1,39391.5325206746,2012,3,11091011316,1,1,36482,26085,0
1,1898.30634769607,1,6,4,2,0,1,43529.2470546522,2012,3,11091011327,1,1,36482,26085,0
1,1959.44582976824,1,11,6,5,1,1,32331.9356715549,2012,3,11201071004,2,1,36482,26085,1
1,1959.44582976824,1,7,2,5,1,1,58984.5067241742,2012,1,11201071012,2,1,36482,26085,0
1,1959.44582976824,1,8,4,4,0,1,27606.509472853,2012,1,11201071019,2,1,36482,26085,1
1,1959.44582976824,1,1,0,1,1,2,92110.4686234409,2012,1,11201071026,2,1,36482,26085,0
1,1959.44582976824,1,6,4,2,0,1,51000.1472212063,2012,3,11201071034,2,1,36482,26085,0
1,1959.44582976824,1,1,0,1,1,2,81651.1303012631,2012,1,11201071041,2,1,36482,26085,0
1,1959.44582976824,1,3,2,1,0,2,37330.4033886709,2012,2,11201071048,2,1,36482,26085,0
1,1959.44582976824,1,3,1,2,0,1,68545.9697015526,2012,3,11201071055,2,1,36482,26085,0
1,1959.44582976824,1,1,0,1,0,1,85897.4908592498,2012,1,11201071063,2,1,36482,26085,0
1,1959.44582976824,1,4,2,2,0,1,61247.1069116063,2012,3,11201071070,2,2,36482,26085,0
1,1959.44582976824,1,3,1,2,0,2,34657.8890390458,2012,2,11201071077,2,1,36482,26085,1
1,1959.44582976824,1,6,2,4,0,1,42074.664941327,2012,4,11201071083,2,4,36482,26085,0
1,1959.44582976824,1,6,3,3,1,1,33196.9732204517,2012,2,11201071091,2,1,36482,26085,1
1,1959.44582976824,1,1,0,1,0,2,82405.938359534,2012,2,11201071099,2,1,36482,26085,0
1,1959.44582976824,1,1,0,1,0,1,110961.171106605,2012,3,11201071107,2,1,36482,26085,0
1,1959.44582976824,1,1,0,1,0,1,76321.9324563497,2012,3,11201071114,2,1,36482,26085,0
1,1959.44582976824,1,4,0,4,0,2,33458.3325625568,2012,2,11201071121,2,1,36482,26085,1
1,1959.44582976824,1,6,4,2,0,1,22652.1197274412,2012,3,11201071128,2,1,36482,26085,1
1,1959.44582976824,1,3,1,2,0,1,35690.6898468123,2012,3,11201071136,2,1,36482,26085,1
1,1959.44582976824,1,3,2,1,1,2,40310.3473602212,2012,1,11201071143,2,1,36482,26085,0
1,1959.44582976824,1,6,4,2,0,1,30090.8051704361,2012,3,11201071150,2,1,36482,26085,1
1,1959.44582976824,1,1,0,1,1,2,53140.9935012166,2012,1,11201071165,2,1,36482,26085,0
1,1959.44582976824,1,1,0,1,1,2,84055.8494634513,2012,1,11201071172,2,1,36482,26085,0
1,1959.44582976824,1,7,3,4,0,1,23183.9087657276,2012,3,11201071179,2,1,36482,26085,1
1,1959.44582976824,1,8,6,2,0,1,36283.9176538761,2012,1,11201071180,2,1,36482,26085,1
1,1959.44582976824,1,8,5,3,0,1,33684.5445613809,2012,1,11201071187,2,1,36482,26085,1
2,414.968580660276,1,3,1,2,0,2,171722.222562414,2012,4,11233328001,3,4,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,117764.315149012,2012,5,11233328007,3,4,36482,26085,0
2,414.968580660276,1,6,1,5,0,1,85283.8941434109,2012,3,11233328009,3,4,36482,26085,0
