"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
1,2654.3781953001,1,7,4,3,0,1,68496.2564132142,10102104004001,2018,3,49320,33748,101021,3,0
1,2654.3781953001,1,1,0,1,0,1,94985.5459686065,10102104004013,2018,3,49320,33748,101021,3,0
1,2654.3781953001,1,3,0,3,1,2,81810.6414659207,10102104004025,2018,1,49320,33748,101021,3,0
1,2654.3781953001,1,8,5,3,1,1,47930.104569026,10102104004037,2018,3,49320,33748,101021,3,1
1,2654.3781953001,1,7,5,2,0,1,66822.2523669315,10102104004061,2018,3,49320,33748,101021,3,0
1,2654.3781953001,1,1,0,1,1,1,55410.3264894465,10102104004073,2018,1,49320,33748,101021,3,0
1,2654.3781953001,1,6,4,2,0,1,40977.6371471429,10102104004085,2018,3,49320,33748,101021,3,1
1,2654.3781953001,1,2,1,1,1,2,99540.1230856287,10102104004098,2018,1,49320,33748,101021,3,0
1,2654.3781953001,1,4,2,2,0,1,78541.0176969793,10102104004122,2018,3,49320,33748,101021,3,0
1,2654.3781953001,1,1,0,1,0,1,88977.4443736394,10102104004134,2018,2,49320,33748,101021,3,0
1,2654.3781953001,1,2,1,1,0,1,52805.2260092684,10102104004146,2018,2,49320,33748,101021,3,0
1,2654.3781953001,1,1,0,1,0,1,76643.9679714778,10102104004170,2018,2,49320,33748,101021,3,0
1,1759.80874826526,1,6,1,5,1,1,90227.4754813837,10109102003008,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,5,2,3,1,2,52976.1286759054,10109102003016,2018,2,49320,33748,101091,3,0
1,1759.80874826526,1,2,0,2,2,2,70780.0589157591,10109102003024,2018,1,49320,33748,101091,3,0
1,1759.80874826526,1,5,3,2,0,1,84784.8286299087,10109102003032,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,4,0,4,0,1,69730.6224146267,10109102003048,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,5,1,4,0,2,63084.7435431768,10109102003056,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,2,0,2,0,1,78571.2945778956,10109102003064,2018,2,49320,33748,101091,3,0
1,1759.80874826526,1,1,0,1,0,1,151373.886030029,10109102003072,2018,1,49320,33748,101091,3,0
1,1759.80874826526,1,4,2,2,1,2,79440.1903931917,10109102003088,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,3,1,2,0,1,129838.146560308,10109102003096,2018,3,49320,33748,101091,3,0
1,1759.80874826526,1,3,1,2,1,2,46544.4639146719,10109102003104,2018,3,49320,33748,101091,3,1
1,1759.80874826526,1,1,0,1,0,1,162244.950567359,10109102003120,2018,4,49320,33748,101091,3,0
1,1437.17714441663,1,4,2,2,0,2,202277.703870729,10120102003003,2018,4,49320,33748,101201,3,0
1,1437.17714441663,1,4,1,3,0,1,116917.662917082,10120102003010,2018,3,49320,33748,101201,3,0
1,1437.17714441663,1,5,3,2,0,1,48219.010595027,10120102003016,2018,2,49320,33748,101201,3,1
1,1437.17714441663,1,3,1,2,1,2,42447.7691451737,10120102003023,2018,1,49320,33748,101201,3,1
1,1437.17714441663,1,11,4,7,0,1,52543.5052178156,10120102003042,2018,3,49320,33748,101201,3,0
1,1437.17714441663,1,5,0,5,2,1,45763.3802558696,10120102003049,2018,1,49320,33748,101201,3,1
